ansible.windows.async_status                                                                        Obtain st...             
ansible.windows.setup                                                                               Gathers...               
ansible.windows.slurp                                                                               Slurps...                
ansible.windows.win_acl                                                                             Set file/directory/registry/certificate permissions f...
ansible.windows.win_acl_inheritance                                                                 ...                      
ansible.windows.win_certificate_store                                                               Mana...                  
ansible.windows.win_command                                                                         Executes a command...    
ansible.windows.win_copy                                                                            Copies files to remote l...
ansible.windows.win_dns_client                                                                      Configures DN...         
ansible.windows.win_domain                                                                          Ensures the exis...      
ansible.windows.win_domain_controller                                                               Manage domain controller/member server...
ansible.windows.win_domain_membership                                                               Manage domain/workgroup memb...
ansible.windows.win_dsc                                                                             Invokes a Pow...         
ansible.windows.win_environment                                                                     Modify environment v...  
ansible.windows.win_feature                                                                         Installs and uninstalls Windows F...
ansible.windows.win_file                                                                            Creates, touches or rem...
ansible.windows.win_find                                                                            Return a list of files b...
ansible.windows.win_get_url                                                                         Downloads file from HT...
ansible.windows.win_group                                                                           Ad...                    
ansible.windows.win_group_membership                                                                Manage Windo...          
ansible.windows.win_hostname                                                                        Manages lo...            
ansible.windows.win_optional_feature                                                                Manage ...               
ansible.windows.win_owner                                                                           ...                      
ansible.windows.win_package                                                                         Installs/uninstal...     
ansible.windows.win_path                                                                            Manage Windows p...      
ansible.windows.win_ping                                                                            A windows version o...   
ansible.windows.win_powershell                                                                      ...                      
ansible.windows.win_reboot                                                                          ...                      
ansible.windows.win_reg_stat                                                                        Get information ab...    
ansible.windows.win_regedit                                                                         Add, change, or remove...
ansible.windows.win_service                                                                         Manage a...              
ansible.windows.win_service_info                                                                    Gather informati...      
ansible.windows.win_share                                                                           ...                      
ansible.windows.win_shell                                                                           Execute shell...         
ansible.windows.win_stat                                                                            Get inform...            
ansible.windows.win_tempfile                                                                        Creates tempor...        
ansible.windows.win_template                                                                        Template a fi...         
ansible.windows.win_updates                                                                         Download an...           
ansible.windows.win_uri                                                                             I...                     
ansible.windows.win_user                                                                            Manages lo...            
ansible.windows.win_user_right                                                                      M...                     
ansible.windows.win_wait_for                                                                        Waits for a co...        
ansible.windows.win_whoami                                                                          Get information about the...
community.general.statusio_maintenance                                                              Create maintenance windows for...
community.windows.psexec                                                                            Runs commands on a remote Windows host ...
community.windows.win_audit_policy_system                                                           Used to make changes to the...
community.windows.win_audit_rule                                                                    Adds an audit rule to files, ...
community.windows.win_auto_logon                                                                    Adds or Sets...          
community.windows.win_certificate_info                                                              Get information on certificates from a ...
community.windows.win_computer_description                                                          Set windows descriptio...
community.windows.win_credential                                                                    Manages Windows Credentials ...
community.windows.win_data_deduplication                                                            Module to enable Data ...
community.windows.win_defrag                                                                        Consolidate fragment...  
community.windows.win_dhcp_lease                                                                    Manage W...              
community.windows.win_disk_facts                                                                    Show the attached disks and disk infor...
community.windows.win_disk_image                                                                    Manage ISO/VHD/VHD...    
community.windows.win_dns_record                                                                    Manage W...              
community.windows.win_dns_zone                                                                      Manage...                
community.windows.win_domain_computer                                                               Manage comp...           
community.windows.win_domain_group                                                                  Creates, modifies...     
community.windows.win_domain_group_membership                                                       Manage Window...         
community.windows.win_domain_object_info                                                            Gather information a...  
community.windows.win_domain_ou                                                                     Manage Active Direc...   
community.windows.win_domain_user                                                                   Manages Windows Activ... 
community.windows.win_dotnet_ngen                                                                   Runs ngen to recompile...
community.windows.win_eventlog                                                                      ...                      
community.windows.win_eventlog_entry                                                                Write entr...            
community.windows.win_feature_info                                                                  Gather informati...      
community.windows.win_file_compression                                                              Alters the compression of files and direc...
community.windows.win_file_version                                                                  Get DLL ...              
community.windows.win_firewall                                                                      Enable or dis...         
community.windows.win_firewall_rule                                                                 Wi...                    
community.windows.win_format                                                                        Formats an existing volume or a new volume on an exis...
community.windows.win_hosts                                                                         Manages host...          
community.windows.win_hotfix                                                                        Install and un...        
community.windows.win_http_proxy                                                                    Manages p...             
community.windows.win_iis_virtualdirectory                                                          Configures a...          
community.windows.win_iis_webapplication                                                            Config...                
community.windows.win_iis_webapppool                                                                Configure ...            
community.windows.win_iis_webbinding                                                                Configur...              
community.windows.win_iis_website                                                                   ...                      
community.windows.win_inet_proxy                                                                    Manages proxy settings for WinI...
community.windows.win_initialize_disk                                                               Initialize...            
community.windows.win_lineinfile                                                                    Ensure a particular line is in a file, or replace an existing line using a back-refe...
community.windows.win_listen_ports_facts                                                            Recopilates the facts of the liste...
community.windows.win_mapped_drive                                                                  Map...                   
community.windows.win_msg                                                                           Sends a message to logged ...
community.windows.win_net_adapter_feature                                                           Enable or disable...     
community.windows.win_netbios                                                                       Manage NetBIOS over T... 
community.windows.win_nssm                                                                          Ins...                   
community.windows.win_pagefile                                                                      Query or chan...         
community.windows.win_partition                                                                     Creates, changes and removes par...
community.windows.win_pester                                                                        Run Pest...              
community.windows.win_power_plan                                                                    Changes the power...     
community.windows.win_product_facts                                                                 Provides Windows produc...
community.windows.win_psexec                                                                        Runs commands (remotely) as ...
community.windows.win_psmodule                                                                      Adds or removes a ...    
community.windows.win_psmodule_info                                                                 Gather information...    
community.windows.win_psrepository                                                                  Adds, removes or updates a Wind...
community.windows.win_psrepository_copy                                                             Copies registered PSRepositori...
community.windows.win_psrepository_info                                                             Gather informa...        
community.windows.win_psscript                                                                      Install and manage PowerShell sc...
community.windows.win_psscript_info                                                                 Gather information about ins...
